Input sentence: 张三走进花园，看到了[MASK]。
Word: 她, Probability: 10.8875
Word: 花, Probability: 10.0012
Word: 他, Probability: 9.9045
Word: 我, Probability: 9.5120
Word: 树, Probability: 9.4641
Word: 雨, Probability: 8.3524
Word: 猫, Probability: 8.3453
Word: 鱼, Probability: 8.3193
Word: 它, Probability: 8.2372
Word: 人, Probability: 8.1820
Word: 你, Probability: 7.9850
Word: 风, Probability: 7.9819
Word: 水, Probability: 7.8935
Word: 海, Probability: 7.7442
Word: 雪, Probability: 7.6879
Word: 狗, Probability: 7.5439
Word: 山, Probability: 7.4206
Word: 云, Probability: 7.3894
Word: 书, Probability: 7.2879
Word: 梅, Probability: 7.1564
Word: 猪, Probability: 7.1520
Word: 天, Probability: 7.0885
Word: 鸟, Probability: 7.0540
Word: 草, Probability: 7.0287
Word: 狼, Probability: 7.0151
Word: 马, Probability: 6.9954
Word: 龙, Probability: 6.9596
Word: 灯, Probability: 6.8077
Word: 门, Probability: 6.8032
Word: 路, Probability: 6.6907
Word: 林, Probability: 6.6617
Word: 钱, Probability: 6.6464
Word: 墙, Probability: 6.6212
Word: 虎, Probability: 6.5900
Word: 火, Probability: 6.5696
Word: 烟, Probability: 6.5255
Word: 牛, Probability: 6.5104
Word: 莲, Probability: 6.4915
Word: 爱, Probability: 6.4428
Word: 光, Probability: 6.4338
Word: 家, Probability: 6.3994
Word: 梦, Probability: 6.3793
Word: 春, Probability: 6.3601
Word: 鸡, Probability: 6.3569
Word: 蛇, Probability: 6.2697
Word: 蝉, Probability: 6.2566
Word: 车, Probability: 6.1835
Word: 谁, Probability: 6.1460
Word: 菊, Probability: 6.1155
Word: 鹰, Probability: 6.0994

Input sentence: 一[MASK]梅花。
Word: 朵, Probability: 9.8018
Word: 枝, Probability: 8.1508
Word: 株, Probability: 7.8831
Word: 片, Probability: 7.7746
Word: 束, Probability: 7.5122
Word: 見, Probability: 7.1488
Word: 见, Probability: 7.1381
Word: 、, Probability: 7.0665
Word: 是, Probability: 6.9958
Word: 对, Probability: 6.8681
Word: 瓣, Probability: 6.6978
Word: 树, Probability: 6.6580
Word: 叶, Probability: 6.6407
Word: 个, Probability: 6.6341
Word: 對, Probability: 6.5885
Word: 点, Probability: 6.5863
Word: 看, Probability: 6.4736
Word: 支, Probability: 6.3641
Word: 种, Probability: 6.3142
Word: 個, Probability: 6.2788
Word: 葉, Probability: 6.2780
Word: 樹, Probability: 6.2357
Word: 語, Probability: 6.1922
Word: 语, Probability: 6.1570
Word: 如, Probability: 6.1476
Word: 種, Probability: 6.1144
Word: 盆, Probability: 6.0958
Word: 把, Probability: 6.0915
Word: 點, Probability: 6.0417
Word: 般, Probability: 5.9346
Word: 杯, Probability: 5.8447
Word: 面, Probability: 5.8210
Word: 色, Probability: 5.8026
